Latitude,Longitude,Inspection_Date,Year,day_of_year,mean_varroa,n,x_km,y_km,TrapezoidAverage,SpringFloral,SummerFloral,FallFloral,Nesting,Insecticide,n_colonies_5km,Monitor_prox,Treat_prox,Fed_Solid,Fed_Syrup,Fed_pollen
37.9602,-89.5752,2018-07-11T00:00:00Z,2018,192,0,2,5.865498272718018,-215.71510597442273,82.45692361025247,40.54187227196638,45.72593448894981,32.922482392549306,31.400283217959384,88.00973909390277,3,NA,NA,0,0,0
38.0141,-89.65769999999999,2018-08-13T00:00:00Z,2018,225,2,2,-1.2997274427645025,-209.6322749682074,79.08871195311784,36.92717957730176,44.76519428013263,31.708679118274624,25.999893173159688,197.23471541641155,6,1,1,0,1,0
38.0219,-89.7225,2018-08-13T00:00:00Z,2018,225,8,2,-6.9774961843514465,-208.68345351411656,70.03140556222212,32.83148003360284,40.20637404521571,26.793503659201285,26.98300183239679,284.10061312512596,3,1,1,0,1,0
38.02250000000001,-89.6996,2018-08-13T00:00:00Z,2018,225,12,2,-4.965661303433997,-208.64664150708967,75.08133253228296,36.352299284729504,42.24506502259466,29.34006141616455,29.448264841506617,232.22867522917232,5,1,1,0,1,0
38.043,-89.0859,2018-10-15T00:00:00Z,2018,288,4,3,48.9400221082801,-206.9850366003349,73.02986973938735,33.79027575198238,42.024054760709504,28.222292731565656,26.655384531169435,228.23766208991813,3,1,1,0,1,0
38.0599,-89.4826,2018-07-10T00:00:00Z,2018,191,3,2,14.14012370523502,-204.75293954332184,75.73725805562104,35.674504158570045,43.20072248060234,29.275321141253382,26.54732907643471,228.28876685678017,2,NA,NA,0,0,0
38.11181,-88.74172000000002,2018-09-16T00:00:00Z,2018,259,16,2,79.18574528300954,-199.5360458945944,81.87055953082661,43.387294114777625,44.32287097068294,31.735847746175875,38.39090764860005,124.9556657073085,2,1,1,0,1,0
38.1531,-88.90520000000001,2018-09-17T00:00:00Z,2018,260,4,2,64.87720061253471,-194.877261553936,62.60136557458538,28.913022385937033,36.29058439914276,23.707015958877264,19.66883540010873,124.47470910776258,1,1,1,0,1,0
38.279347,-89.830806,2018-06-30T00:00:00Z,2018,181,9.5,4,-16.026451051031064,-179.95778780715673,68.58528094079675,30.833265658904,40.2044208770619,25.928600597259557,22.939634320050907,218.49136302436875,4,NA,NA,0,0,0
38.393188,-90.11728,2018-06-17T00:00:00Z,2018,168,3.5,4,-40.85006502612296,-166.87518216468885,74.7116415333728,37.19686743789723,41.563614110237936,29.122865898237176,34.420695896591695,194.67862856282167,13,NA,NA,0,0,0
